metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
kurrentdb.messaging_kurrent_producer_produce_duration_seconds.sum,count,,second,,Time taken to send a record (sum of observations),0,kurrentdb,,
kurrentdb.messaging_kurrent_producer_queue_length,gauge,,message,,Total messages that are ready to be sent,0,kurrentdb,,
kurrentdb.proc.mem,gauge,,byte,,Current memory usage of the process,0,kurrentdb,,
kurrentdb.proc.cpu,gauge,,,,Current CPU usage of the process,0,kurrentdb,,
kurrentdb.proc.threads,gauge,,thread,,Current number of threads,0,kurrentdb,,
kurrentdb.proc.contentions_rate,gauge,,,,Rate of lock contentions,0,kurrentdb,,
kurrentdb.proc.thrown_exceptions_rate,gauge,,,,Rate of exceptions thrown,0,kurrentdb,,
kurrentdb.proc.disk.read_bytes,gauge,,byte,,Bytes read from disk,0,kurrentdb,,
kurrentdb.proc.disk.write_bytes,gauge,,byte,,Bytes written to disk,0,kurrentdb,,
kurrentdb.proc.disk.read_ops,gauge,,operation,,Disk read operations,0,kurrentdb,,
kurrentdb.proc.disk.write_ops,gauge,,operation,,Disk write operations,0,kurrentdb,,
kurrentdb.tcp.connections,gauge,,connection,,Number of TCP connections,0,kurrentdb,,
kurrentdb.tcp.receiving_speed,gauge,,,,TCP receiving speed,0,kurrentdb,,
kurrentdb.tcp.sending_speed,gauge,,,,TCP sending speed,0,kurrentdb,,
kurrentdb.tcp.in_send,gauge,,,,TCP bytes currently being transmitted (handed to the socket but not yet fully sent),0,kurrentdb,,
kurrentdb.tcp.measure_time,gauge,,second,,TCP measurement time,0,kurrentdb,,
kurrentdb.tcp.pending_received,gauge,,,,TCP pending received bytes,0,kurrentdb,,
kurrentdb.tcp.pending_send,gauge,,,,TCP bytes queued to be sent but not yet handed off to the socket,0,kurrentdb,,
kurrentdb.tcp.received_bytes.since_last_run,gauge,,byte,,TCP bytes received since the last stats run,0,kurrentdb,,
kurrentdb.tcp.received_bytes.total,gauge,,byte,,Total TCP bytes received,0,kurrentdb,,
kurrentdb.tcp.sent_bytes.since_last_run,gauge,,byte,,TCP bytes sent since the last stats run,0,kurrentdb,,
kurrentdb.tcp.sent_bytes.total,gauge,,byte,,Total TCP bytes sent,0,kurrentdb,,
kurrentdb.gc.allocation_speed,gauge,,,,Garbage collection allocation speed,0,kurrentdb,,
kurrentdb.gc.items_count.gen0,gauge,,item,,Number of items in generation 0,0,kurrentdb,,
kurrentdb.gc.size.gen0,gauge,,byte,,Size of generation 0,0,kurrentdb,,
kurrentdb.gc.items_count.gen1,gauge,,item,,Number of items in generation 1,0,kurrentdb,,
kurrentdb.gc.size.gen1,gauge,,byte,,Size of generation 1,0,kurrentdb,,
kurrentdb.gc.items_count.gen2,gauge,,item,,Number of items in generation 2,0,kurrentdb,,
kurrentdb.gc.size.gen2,gauge,,byte,,Size of generation 2,0,kurrentdb,,
kurrentdb.gc.large_heap_size,gauge,,byte,,Size of the large object heap,0,kurrentdb,,
kurrentdb.gc.time_in_gc,gauge,,percent,,Percentage of time spent in garbage collection,0,kurrentdb,,
kurrentdb.gc.total_bytes_in_heaps,gauge,,byte,,Total bytes in all heaps,0,kurrentdb,,
kurrentdb.sys.free_mem,gauge,,byte,,Free system memory,0,kurrentdb,,
kurrentdb.es.writer.flush_size.last,gauge,,byte,,Size of the last storage writer flush,0,kurrentdb,,
kurrentdb.es.writer.flush_delay_ms.last,gauge,,millisecond,,Delay of the last storage writer flush,0,kurrentdb,,
kurrentdb.es.writer.flush_size.mean,gauge,,byte,,Mean storage writer flush size,0,kurrentdb,,
kurrentdb.es.writer.flush_delay_ms.mean,gauge,,millisecond,,Mean storage writer flush delay,0,kurrentdb,,
kurrentdb.es.writer.flush_size.max,gauge,,byte,,Maximum storage writer flush size,0,kurrentdb,,
kurrentdb.es.writer.flush_delay_ms.max,gauge,,millisecond,,Maximum storage writer flush delay,0,kurrentdb,,
kurrentdb.es.writer.queued_flush_messages,gauge,,message,,Number of messages queued for the storage writer to flush,0,kurrentdb,,
kurrentdb.es.read_index.cached_record,gauge,,,,Read index records served from the cache,0,kurrentdb,,
kurrentdb.es.read_index.not_cached_record,gauge,,,,Read index records not served from the cache,0,kurrentdb,,
kurrentdb.es.read_index.cached_stream_info,gauge,,,,Read index stream info served from the cache,0,kurrentdb,,
kurrentdb.es.read_index.not_cached_stream_info,gauge,,,,Read index stream info not served from the cache,0,kurrentdb,,
kurrentdb.es.read_index.cached_trans_info,gauge,,,,Read index transaction info served from the cache,0,kurrentdb,,
kurrentdb.es.read_index.not_cached_trans_info,gauge,,,,Read index transaction info not served from the cache,0,kurrentdb,,
kurrentdb.es.queue.avg_items_per_second,gauge,,item,,Average items processed per second by a queue,0,kurrentdb,,
kurrentdb.es.queue.avg_processing_time,gauge,,,,Average time a queue takes to process an item,0,kurrentdb,,
kurrentdb.es.queue.current_idle_time,gauge,,second,,Time a queue has currently been idle,0,kurrentdb,,
kurrentdb.es.queue.current_processing_time,gauge,,second,,Time a queue has spent processing its current item,0,kurrentdb,,
kurrentdb.es.queue.idle_time_percent,gauge,,percent,,Percentage of time a queue is idle,0,kurrentdb,,
kurrentdb.es.queue.length,gauge,,item,,Current length of a queue,0,kurrentdb,,
kurrentdb.es.queue.length_current_try_peak,gauge,,item,,Peak length of a queue during the current try,0,kurrentdb,,
kurrentdb.es.queue.length_lifetime_peak,gauge,,item,,Peak length of a queue over its lifetime,0,kurrentdb,,
kurrentdb.es.queue.total_items_processed,gauge,,item,,Total items processed by a queue,0,kurrentdb,,
kurrentdb.is_leader,gauge,,,,Whether the cluster node is the leader (1 or 0),0,kurrentdb,,
kurrentdb.is_follower,gauge,,,,Whether the cluster node is a follower (1 or 0),0,kurrentdb,,
kurrentdb.is_readonlyreplica,gauge,,,,Whether the cluster node is a read-only replica (1 or 0),0,kurrentdb,,
kurrentdb.projection.core_processing_time,gauge,,,,Core processing time of the projection,0,kurrentdb,,
kurrentdb.projection.version,gauge,,,,Version of the projection,0,kurrentdb,,
kurrentdb.projection.epoch,gauge,,,,Epoch of the projection,0,kurrentdb,,
kurrentdb.projection.reads_in_progress,gauge,,,,Reads in progress for the projection,0,kurrentdb,,
kurrentdb.projection.writes_in_progress,gauge,,,,Writes in progress for the projection,0,kurrentdb,,
kurrentdb.projection.partitions_cached,gauge,,,,Partitions cached by the projection,0,kurrentdb,,
kurrentdb.projection.running,gauge,,,,Whether the projection is running (1 or 0),0,kurrentdb,,
kurrentdb.projection.progress,gauge,,percent,,Progress of the projection,0,kurrentdb,,
kurrentdb.projection.events_processed_after_restart,gauge,,event,,Events processed by the projection after restart,0,kurrentdb,,
kurrentdb.projection.buffered_events,gauge,,event,,Events buffered by the projection,0,kurrentdb,,
kurrentdb.projection.write_pending_events_before_checkpoint,gauge,,event,,Events pending write before the projection checkpoint,0,kurrentdb,,
kurrentdb.projection.write_pending_events_after_checkpoint,gauge,,event,,Events pending write after the projection checkpoint,0,kurrentdb,,
kurrentdb.subscription.live,gauge,,,,Whether the persistent subscription is live (1 or 0),0,kurrentdb,,
kurrentdb.subscription.average_items_per_second,gauge,,item,,Average items per second processed by the subscription,0,kurrentdb,,
kurrentdb.subscription.items_processed,gauge,,item,,Total items processed by the subscription,0,kurrentdb,,
kurrentdb.subscription.last_processed_event_number,gauge,,,,Last event number processed by the subscription,0,kurrentdb,,
