metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
celerdata.be.fslib.s3.single_upload_size.count,count,,,,Counter of S3 single upload object size. unit: bytes,0,celerdata,,
celerdata.be.fslib.s3.single_upload_size.sum,count,,,,Sum of S3 single upload object size. unit: bytes,0,celerdata,,
celerdata.be.fslib.star_cache_disk_size,gauge,,,,Disk bytes occupied by the star cache. Unit: B,0,celerdata,,
celerdata.be.fslib.star_cache_memory_size,gauge,,,,Memory bytes occupied by the star cache. Unit: B,0,celerdata,,
celerdata.be.fslib.star_cache_meta_memory_size,gauge,,,,Memory bytes occupied by the star cache's meta. Unit: B,0,celerdata,,
celerdata.be.fslib.stat_io_latency.bucket.count,count,,,,Bucket of stat io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.stat_io_latency.count,count,,,,Counter of stat io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.stat_io_latency.sum,count,,,,Sum of stat io latency. unit: microsecond,0,celerdata,,
celerdata.be.fslib.write_io_latency.bucket.count,count,,,,Bucket of write IO latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.write_io_latency.count,count,,,,Counter of write IO latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.write_io_latency.sum,count,,,,Sum of write IO latency. unit: micro seconds,0,celerdata,,
celerdata.be.fslib.write_io_size.bucket.count,count,,,,Bucket of write IO size. unit: bytes,0,celerdata,,
celerdata.be.fslib.write_io_size.count,count,,,,Counter of write IO size. unit: bytes,0,celerdata,,
celerdata.be.fslib.write_io_size.sum,count,,,,Sum of write IO size. unit: bytes,0,celerdata,,
celerdata.be.http_request_send_bytes.count,count,,,,,0,celerdata,,
celerdata.be.http_requests.count,count,,,,,0,celerdata,,
celerdata.be.int128_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.int16_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.int32_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.int64_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.int8_column_pool_bytes,gauge,,,,,0,celerdata,,
celerdata.be.iobuf_block_count,gauge,,,,,0,celerdata,,
celerdata.be.iobuf_block_count_hit_tls_threshold,gauge,,,,,0,celerdata,,
celerdata.be.iobuf_block_memory,gauge,,,,,0,celerdata,,
celerdata.be.iobuf_newbigview_second,gauge,,,,,0,celerdata,,
