metric_name,metric_type,interval,unit_name,per_unit_name,integration,description,orientation,short_name,curated_metric
ybdb.node_disk_reads_completed_total,gauge,,,,yugabytedb_managed,,0,node_disk_reads_completed_total,
ybdb.node_disk_writes_completed_total,gauge,,,,yugabytedb_managed,,0,node_disk_writes_completed_total,
ybdb.node_disk_written_bytes_total,gauge,,,,yugabytedb_managed,,0,node_disk_written_bytes_total,
ybdb.node_filesystem_free_bytes,gauge,,,,yugabytedb_managed,,0,node_filesystem_free_bytes,
ybdb.node_filesystem_size_bytes,gauge,,,,yugabytedb_managed,,0,node_filesystem_size_bytes,
ybdb.node_memory_MemAvailable_bytes,gauge,,,,yugabytedb_managed,,0,node_memory_MemAvailable_bytes,
ybdb.node_memory_MemTotal_bytes,gauge,,,,yugabytedb_managed,,0,node_memory_MemTotal_bytes,
ybdb.node_network_receive_bytes_total,gauge,,,,yugabytedb_managed,,0,node_network_receive_bytes_total,
ybdb.node_network_receive_errs_total,gauge,,,,yugabytedb_managed,,0,node_network_receive_errs_total,
ybdb.node_network_receive_packets_total,gauge,,,,yugabytedb_managed,,0,node_network_receive_packets_total,
ybdb.node_network_transmit_bytes_total,gauge,,,,yugabytedb_managed,,0,node_network_transmit_bytes_total,
ybdb.node_network_transmit_errs_total,gauge,,,,yugabytedb_managed,,0,node_network_transmit_errs_total,
ybdb.node_network_transmit_packets_total,gauge,,,,yugabytedb_managed,,0,node_network_transmit_packets_total,
ybdb.operation_memory_pressure_rejections,gauge,,,,yugabytedb_managed,,0,operation_memory_pressure_rejections,
ybdb.rocksdb_block_cache_hit,gauge,,,,yugabytedb_managed,,0,rocksdb_block_cache_hit,
ybdb.rocksdb_block_cache_miss,gauge,,,,yugabytedb_managed,,0,rocksdb_block_cache_miss,
ybdb.rocksdb_bloom_filter_checked,gauge,,,,yugabytedb_managed,,0,rocksdb_bloom_filter_checked,
ybdb.rocksdb_bloom_filter_useful,gauge,,,,yugabytedb_managed,,0,rocksdb_bloom_filter_useful,
ybdb.rocksdb_compact_read_bytes,gauge,,,,yugabytedb_managed,,0,rocksdb_compact_read_bytes,
ybdb.rocksdb_compact_write_bytes,gauge,,,,yugabytedb_managed,,0,rocksdb_compact_write_bytes,
ybdb.rocksdb_compaction_times_micros_count,gauge,,,,yugabytedb_managed,,0,rocksdb_compaction_times_micros_count,
ybdb.rocksdb_compaction_times_micros_sum,gauge,,,,yugabytedb_managed,,0,rocksdb_compaction_times_micros_sum,
ybdb.rocksdb_current_version_num_sst_files,gauge,,,,yugabytedb_managed,,0,rocksdb_current_version_num_sst_files,
ybdb.rocksdb_current_version_sst_files_size,gauge,,,,yugabytedb_managed,,0,rocksdb_current_version_sst_files_size,
ybdb.rocksdb_db_get_micros_count,gauge,,,,yugabytedb_managed,,0,rocksdb_db_get_micros_count,
ybdb.rocksdb_db_get_micros_sum,gauge,,,,yugabytedb_managed,,0,rocksdb_db_get_micros_sum,
ybdb.rocksdb_db_seek_micros_count,gauge,,,,yugabytedb_managed,,0,rocksdb_db_seek_micros_count,
ybdb.rocksdb_db_seek_micros_sum,gauge,,,,yugabytedb_managed,,0,rocksdb_db_seek_micros_sum,
ybdb.rocksdb_db_write_micros_count,gauge,,,,yugabytedb_managed,,0,rocksdb_db_write_micros_count,
ybdb.rocksdb_db_write_micros_sum,gauge,,,,yugabytedb_managed,,0,rocksdb_db_write_micros_sum,
ybdb.rocksdb_flush_write_bytes,gauge,,,,yugabytedb_managed,,0,rocksdb_flush_write_bytes,
ybdb.rocksdb_number_db_next,gauge,,,,yugabytedb_managed,,0,rocksdb_number_db_next,
ybdb.rocksdb_number_db_prev,gauge,,,,yugabytedb_managed,,0,rocksdb_number_db_prev,
ybdb.rocksdb_number_db_seek,gauge,,,,yugabytedb_managed,,0,rocksdb_number_db_seek,
ybdb.rocksdb_numfiles_in_singlecompaction_count,gauge,,,,yugabytedb_managed,,0,rocksdb_numfiles_in_singlecompaction_count,
ybdb.rocksdb_numfiles_in_singlecompaction_sum,gauge,,,,yugabytedb_managed,,0,rocksdb_numfiles_in_singlecompaction_sum,
ybdb.rocksdb_stall_micros,gauge,,,,yugabytedb_managed,,0,rocksdb_stall_micros,
ybdb.rpc_connections_alive,gauge,,,,yugabytedb_managed,,0,rpc_connections_alive,
ybdb.rpc_inbound_calls_created,gauge,,,,yugabytedb_managed,,0,rpc_inbound_calls_created,
ybdb.rpc_incoming_queue_time_count,gauge,,,,yugabytedb_managed,,0,rpc_incoming_queue_time_count,
ybdb.rpc_incoming_queue_time_sum,gauge,,,,yugabytedb_managed,,0,rpc_incoming_queue_time_sum,
ybdb.rpc_latency,gauge,,,,yugabytedb_managed,,0,rpc_latency,
ybdb.rpc_latency_count,gauge,,,,yugabytedb_managed,,0,rpc_latency_count,
ybdb.rpc_latency_sum,gauge,,,,yugabytedb_managed,,0,rpc_latency_sum,
ybdb.rpcs_in_queue_yb_cdc_CDCService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_cdc_CDCService,
ybdb.rpcs_in_queue_yb_consensus_ConsensusService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_consensus_ConsensusService,
ybdb.rpcs_in_queue_yb_cqlserver_CQLServerService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_cqlserver_CQLServerService,
ybdb.rpcs_in_queue_yb_master_MasterBackup,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_master_MasterBackup,
ybdb.rpcs_in_queue_yb_master_MasterService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_master_MasterService,
ybdb.rpcs_in_queue_yb_server_GenericService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_server_GenericService,
ybdb.rpcs_in_queue_yb_tserver_PgClientService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_tserver_PgClientService,
ybdb.rpcs_in_queue_yb_tserver_RemoteBootstrapService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_tserver_RemoteBootstrapService,
ybdb.rpcs_in_queue_yb_tserver_TabletServerAdminService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_tserver_TabletServerAdminService,
ybdb.rpcs_in_queue_yb_tserver_TabletServerBackupService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_tserver_TabletServerBackupService,
ybdb.rpcs_in_queue_yb_tserver_TabletServerService,gauge,,,,yugabytedb_managed,,0,rpcs_in_queue_yb_tserver_TabletServerService,
ybdb.spinlock_contention_time,gauge,,,,yugabytedb_managed,,0,spinlock_contention_time,
ybdb.threads_running,gauge,,,,yugabytedb_managed,,0,threads_running,
ybdb.threads_started,gauge,,,,yugabytedb_managed,,0,threads_started,
ybdb.transaction_conflicts,gauge,,,,yugabytedb_managed,,0,transaction_conflicts,
ybdb.transaction_pool_cache_count,gauge,,,,yugabytedb_managed,,0,transaction_pool_cache_count,
ybdb.transaction_pool_cache_sum,gauge,,,,yugabytedb_managed,,0,transaction_pool_cache_sum,
ybdb.ts_post_split_compaction_added,gauge,,,,yugabytedb_managed,,0,ts_post_split_compaction_added,
ybdb.ts_split_op_added,gauge,,,,yugabytedb_managed,,0,ts_split_op_added,
ybdb.ts_split_op_apply,gauge,,,,yugabytedb_managed,,0,ts_split_op_apply,
ybdb.up,gauge,,,,yugabytedb_managed,,0,up,
ybdb.voluntary_context_switches,gauge,,,,yugabytedb_managed,,0,voluntary_context_switches,
ybdb.yb_node_boot_time,gauge,,,,yugabytedb_managed,,0,yb_node_boot_time,
ybdb.yb_node_version_check,gauge,,,,yugabytedb_managed,,0,yb_node_version_check,
ybdb.yb_node_ycql_connect,gauge,,,,yugabytedb_managed,,0,yb_node_ycql_connect,
ybdb.yb_node_ysql_connect,gauge,,,,yugabytedb_managed,,0,yb_node_ysql_connect,
ybdb.yb_ysqlserver_connection_total,gauge,,,,yugabytedb_managed,,0,yb_ysqlserver_connection_total,
