Metric Name,Type,Description
crdb_dedicated.queue.replicate.pending,(gauge),Number of pending replicas in the replicate queue
crdb_dedicated.queue.replicate.process.failure,(count),Number of replicas which failed processing in the replicate queue
crdb_dedicated.queue.replicate.process.success,(count),Number of replicas successfully processed by the replicate queue
crdb_dedicated.queue.replicate.processingnanos,(count),Nanoseconds spent processing replicas in the replicate queue. Shown as nanosecond
crdb_dedicated.queue.replicate.purgatory,(gauge),"Number of replicas in the replicate queue's purgatory, awaiting allocation options"
crdb_dedicated.queue.replicate.rebalancereplica,(count),Number of replica rebalancer-initiated additions attempted by the replicate queue
crdb_dedicated.queue.replicate.removedeadreplica,(count),Number of dead replica removals attempted by the replicate queue (typically in response to a node outage)
crdb_dedicated.queue.replicate.removereplica,(count),Number of replica removals attempted by the replicate queue (typically in response to a rebalancer-initiated addition)
crdb_dedicated.queue.replicate.transferlease,(count),Number of range lease transfers attempted by the replicate queue
crdb_dedicated.queue.split.pending,(gauge),Number of pending replicas in the split queue
crdb_dedicated.queue.split.process.failure,(count),Number of replicas which failed processing in the split queue
crdb_dedicated.queue.split.process.success,(count),Number of replicas successfully processed by the split queue
crdb_dedicated.queue.split.processingnanos,(count),Nanoseconds spent processing replicas in the split queue. Shown as nanosecond
crdb_dedicated.queue.tsmaintenance.pending,(gauge),Number of pending replicas in the time series maintenance queue
crdb_dedicated.queue.tsmaintenance.process.failure,(count),Number of replicas which failed processing in the time series maintenance queue
crdb_dedicated.queue.tsmaintenance.process.success,(count),Number of replicas successfully processed by the time series maintenance queue
crdb_dedicated.queue.tsmaintenance.processingnanos,(count),Nanoseconds spent processing replicas in the time series maintenance queue. Shown as nanosecond
crdb_dedicated.raft.commandsapplied,(count),Count of Raft commands applied. Shown as command
crdb_dedicated.raft.enqueued.pending,(gauge),Number of pending outgoing messages in the Raft Transport queue
crdb_dedicated.raft.heartbeats.pending,(gauge),Number of pending heartbeats and responses waiting to be coalesced
crdb_dedicated.raft.process.commandcommit.latency,(distribution),Latency histogram in nanoseconds for committing Raft commands. Shown as nanosecond
crdb_dedicated.raft.process.logcommit.latency,(distribution),Latency histogram in nanoseconds for committing Raft log entries. Shown as nanosecond
crdb_dedicated.raft.process.tickingnanos,(count),Nanoseconds spent in store.processRaft() processing replica.Tick(). Shown as nanosecond
crdb_dedicated.raft.process.workingnanos,(count),Nanoseconds spent in store.processRaft() working. Shown as nanosecond
crdb_dedicated.raft.rcvd.app,(count),Number of MsgApp messages received by this store
crdb_dedicated.raft.rcvd.appresp,(count),Number of MsgAppResp messages received by this store
crdb_dedicated.raft.rcvd.dropped,(count),Number of dropped incoming Raft messages
crdb_dedicated.raft.rcvd.heartbeat,(count),"Number of (coalesced, if enabled) MsgHeartbeat messages received by this store"
crdb_dedicated.raft.rcvd.heartbeatresp,(count),"Number of (coalesced, if enabled) MsgHeartbeatResp messages received by this store"
crdb_dedicated.raft.rcvd.prevote,(count),Number of MsgPreVote messages received by this store
crdb_dedicated.raft.rcvd.prevoteresp,(count),Number of MsgPreVoteResp messages received by this store
crdb_dedicated.raft.rcvd.prop,(count),Number of MsgProp messages received by this store
crdb_dedicated.raft.rcvd.snap,(count),Number of MsgSnap messages received by this store
crdb_dedicated.raft.rcvd.timeoutnow,(count),Number of MsgTimeoutNow messages received by this store
crdb_dedicated.raft.rcvd.transferleader,(count),Number of MsgTransferLeader messages received by this store
crdb_dedicated.raft.rcvd.vote,(count),Number of MsgVote messages received by this store
crdb_dedicated.raft.rcvd.voteresp,(count),Number of MsgVoteResp messages received by this store
crdb_dedicated.raft.ticks,(count),Number of Raft ticks queued
crdb_dedicated.raftlog.behind,(gauge),Number of Raft log entries followers on other stores are behind. Shown as entry
crdb_dedicated.raftlog.truncated,(count),Number of Raft log entries truncated. Shown as entry
crdb_dedicated.range.adds,(count),Number of range additions
