Metric Name
system.cpu.stolen
system.cpu.system
system.cpu.user
system.disk.free
system.disk.in_use
system.disk.read_time
system.disk.read_time_pct
system.disk.total
system.disk.used
system.disk.utilized
system.disk.write_time
system.disk.write_time_pct
system.fs.file_handles.allocated
system.fs.file_handles.allocated_unused
system.fs.file_handles.in_use
system.fs.file_handles.max
system.fs.file_handles.used
system.fs.inodes.free
system.fs.inodes.in_use
system.fs.inodes.total
system.fs.inodes.used
system.fs.inodes.utilized
system.io.avg_q_sz
system.io.avg_rq_sz
system.io.await
system.io.block_in
system.io.block_out
system.io.r_await
system.io.r_s
system.io.rkb_s
system.io.rrqm_s
system.io.svctm
system.io.util
system.io.w_await
system.io.w_s
system.io.wkb_s
system.io.wrqm_s
system.load.1
system.load.15
system.load.5
system.load.norm.1
system.load.norm.15
system.load.norm.5
system.mem.buffered
system.mem.cached
system.mem.commit_limit
system.mem.committed_as
system.mem.free
system.mem.page_tables
system.mem.pct_usable
system.mem.shared
system.mem.slab
system.mem.slab_reclaimable
system.mem.total
system.mem.usable
system.mem.used
system.net.bytes_rcvd
system.net.bytes_sent
system.net.iface.mtu
system.net.iface.num_rx_queues
system.net.iface.num_tx_queues
system.net.iface.tx_queue_len
system.net.ip.forwarded_datagrams
system.net.ip.fragmentation_creates
system.net.ip.fragmentation_fails
system.net.ip.fragmentation_oks
system.net.ip.in_addr_errors
system.net.ip.in_csum_errors
system.net.ip.in_delivers
system.net.ip.in_discards
system.net.ip.in_header_errors
system.net.ip.in_no_routes
system.net.ip.in_receives
system.net.ip.in_truncated_pkts
system.net.ip.in_unknown_protos
system.net.ip.out_discards
system.net.ip.out_no_routes
system.net.ip.out_requests
system.net.ip.reassembly_fails
system.net.ip.reassembly_oks
system.net.ip.reassembly_overlaps
system.net.ip.reassembly_requests
system.net.ip.reassembly_timeouts
system.net.ip.reverse_path_filter
system.net.packets_in.count
system.net.packets_in.drop
system.net.packets_in.error
system.net.packets_out.count
system.net.packets_out.drop
system.net.packets_out.error
system.net.tcp.abort_on_timeout
system.net.tcp.active_opens
system.net.tcp.attempt_fails
system.net.tcp.backlog_drops
system.net.tcp.current_established
system.net.tcp.established_resets
system.net.tcp.failed_retransmits
system.net.tcp.from_zero_window
system.net.tcp.in_csum_errors
system.net.tcp.in_errors
system.net.tcp.in_segs
system.net.tcp.listen_drops
system.net.tcp.listen_overflows
system.net.tcp.out_resets
system.net.tcp.out_segs
system.net.tcp.passive_opens
system.net.tcp.paws_connection_drops
system.net.tcp.paws_established_drops
system.net.tcp.prune_called
system.net.tcp.prune_ofo_called
system.net.tcp.prune_rcv_drops
system.net.tcp.retrans_segs
system.net.tcp.syn_cookies_failed
system.net.tcp.syn_cookies_recv
system.net.tcp.syn_cookies_sent
system.net.tcp.syn_retrans
system.net.tcp.to_zero_window
system.net.tcp.tw_reused
system.net.udp.in_csum_errors
system.net.udp.in_datagrams
system.net.udp.in_errors
system.net.udp.no_ports
system.net.udp.out_datagrams
system.net.udp.rcv_buf_errors
system.net.udp.snd_buf_errors
system.swap.cached
system.swap.free
system.swap.pct_free
system.swap.swap_in
system.swap.swap_out
system.swap.total
system.swap.used
system.uptime
