metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
aerospike.namespace.client_udf_error.count,count,,,,Number of failed udf transactions initiated by the client.,0,aerospike,client_udf_error,,
aerospike.namespace.client_udf_filtered_out,gauge,,transaction,,Number of client udf transactions that did not happen because the record was filtered out using a predicate expression.,0,aerospike,client_udf_filtered_out,,
aerospike.namespace.client_udf_timeout,gauge,,,,Number of client udf class that timedout,0,aerospike,client_udf_timeout,,
aerospike.namespace.client_write_error,gauge,,,,Number of client write transactions that failed with an error.,0,aerospike,client_write_error,,
aerospike.namespace.client_write_error.count,count,,,,Number of client write transactions that failed with an error.,0,aerospike,client_write_error,,
aerospike.namespace.client_write_filtered_out,gauge,,transaction,,Number of client write transactions that did not happen because the record was filtered out using a predicate expression.,0,aerospike,client_write_filtered_out,,
aerospike.namespace.client_write_filtered_out.count,count,,transaction,,Number of client write transactions that did not happen because the record was filtered out using a predicate expression.,0,aerospike,client_write_filtered_out,,
aerospike.namespace.client_write_success,gauge,,,,Number of successful client write transactions.,0,aerospike,client_write_success,,
aerospike.namespace.client_write_success.count,count,,,,Number of successful client write transactions.,0,aerospike,client_write_success,,
aerospike.namespace.client_write_timeout,gauge,,,,Number of client write transactions that timed out.,0,aerospike,client_write_timeout,,
aerospike.namespace.client_write_timeout.count,count,,,,Number of client write transactions that timed out.,0,aerospike,client_write_timeout,,
aerospike.namespace.clock_skew_stop_writes,gauge,,,,This will be true if clock skew is outside of tolerance for strong-consistency.,0,aerospike,clock_skew_stop_writes,,
aerospike.namespace.conflict_resolve_writes,gauge,,,,Required for the XDR bin convergence feature and bin-level LUT is to determine winner.,0,aerospike,conflict_resolve_writes,,
aerospike.namespace.current_time,gauge,,,,The current time represented as Aerospike epoch time.,0,aerospike,current_time,,
aerospike.namespace.data_avail_pct,gauge,,,,Measures the minimum contiguous storage-engine device or pmem or memory storage file space across all such files in a namespace.,0,aerospike,data_avail_pct,,
aerospike.namespace.data_compression_ratio,gauge,,,,Measures the average compressed size to uncompressed size ratio,0,aerospike,data_compression_ratio,,
aerospike.namespace.data_total_bytes,gauge,,,,Regardless of storage-engine represents the total allocated storage.,0,aerospike,data_total_bytes,,
aerospike.namespace.data_used_bytes,gauge,,,,the amount of data used in that storage regardless of storage-engine.,0,aerospike,data_used_bytes,,
aerospike.namespace.data_used_pct,gauge,,,,Percentage of used storage capacity for this namespace.,0,aerospike,data_used_pct,,
aerospike.namespace.dead_partitions,gauge,,,,Number of dead partitions for this namespace (when using strong-consistency). This is the number of partitions that are unavailable when all roster nodes are present.,0,aerospike,dead_partitions,,
aerospike.namespace.default_read_touch_ttl_pct,gauge,,,,Values 1-100 specify a percentage of the most recent record expiration time within this interval of the records end of life will generate a touch.,0,aerospike,default_read_touch_ttl_pct,,
aerospike.namespace.default_ttl,gauge,,,,Default time-to-live (in seconds) for a record from the time of creation or last update.,0,aerospike,default_ttl,,
aerospike.namespace.deleted_last_bin,gauge,,object,,Number of objects deleted because their last bin was deleted.,0,aerospike,deleted_last_bin,,
aerospike.namespace.device_available_pct,gauge,,,,Minimum contiguous disk space for all disks in a namespace.,0,aerospike,device_available_pct,,
aerospike.namespace.disable_cold_start_eviction,gauge,,,,If true disables eviction that may occur at cold start for this namespace only.,0,aerospike,disable_cold_start_eviction,,
aerospike.namespace.disable_mrt_writes,gauge,,,,Controls whether transactions can be used by applications.,0,aerospike,disable_mrt_writes,,
aerospike.namespace.disable_write_dup_res,gauge,,,,This disables write duplicate resolution for the namespace.,0,aerospike,disable_write_dup_res,,
aerospike.namespace.disallow_expunge,gauge,,,,Attempted non-durable deletes return error code 22 (forbidden) use along with available and partition-tolerant (AP) namespaces only,0,aerospike,disallow_expunge,,
aerospike.namespace.disallow_null_setname,gauge,,,,Enabling this configuration will error out a record write attempt if done without a set name.,0,aerospike,disallow_null_setname,,
aerospike.namespace.dup_res_ask,gauge,,,, Number of duplicate resolution requests made by the node to other individual nodes,0,aerospike,dup_res_ask,,
aerospike.namespace.dup_res_respond_no_read,gauge,,,, Number of duplicate resolution requests handled by the node without reading the record.,0,aerospike,dup_res_respond_no_read,,
aerospike.namespace.dup_res_respond_read,gauge,,,, Number of duplicate resolution requests handled by the node where the record was read.,0,aerospike,dup_res_respond_read,,
aerospike.namespace.effective_active_rack,gauge,,,,The effective active-rack for the namespace and configured active rack owns all of the master partition copies,0,aerospike,effective_active_rack,,
aerospike.namespace.effective_is_quiesced,gauge,,,,This reports true when the namespace has rebalanced after previously receiving a quiesce info request.,0,aerospike,effective_is_quiesced,,
aerospike.namespace.effective_prefer_uniform_balance,gauge,,,,"If Aerospike applied the uniform balance algorithm for the current cluster state, the value returned will be true.",0,aerospike,effective_prefer_uniform_balance,,
aerospike.namespace.effective_replication_factor,gauge,,,,The effective replication factor for the namespace.,0,aerospike,effective_replication_factor,,
aerospike.namespace.enable_benchmarks_batch_sub,gauge,,,,This enables histograms for batch sub transactions.,0,aerospike,enable_benchmarks_batch_sub,,
aerospike.namespace.enable_benchmarks_ops_sub,gauge,,,,This enables histograms for ops sub transactions.,0,aerospike,enable_benchmarks_ops_sub,,
aerospike.namespace.enable_benchmarks_read,gauge,,,,This enables histograms for read transactions.,0,aerospike,enable_benchmarks_read,,
aerospike.namespace.enable_benchmarks_storage,gauge,,,,This enables histograms for storage access.,0,aerospike,enable_benchmarks_storage,,
aerospike.namespace.enable_benchmarks_udf,gauge,,,,This enables histograms for udf transactions.,0,aerospike,enable_benchmarks_udf,,
aerospike.namespace.enable_benchmarks_udf_sub,gauge,,,,This enables histograms for udf sub transactions.,0,aerospike,enable_benchmarks_udf_sub,,
aerospike.namespace.enable_benchmarks_write,gauge,,,,This enables histograms for write transactions.,0,aerospike,enable_benchmarks_write,,
aerospike.namespace.enable_hist_proxy,gauge,,,,This enables histograms for proxy transactions.,0,aerospike,enable_hist_proxy,,
aerospike.namespace.evict_hist_buckets,gauge,,,,The number of histogram buckets used for evictions.,0,aerospike,evict_hist_buckets,,
aerospike.namespace.evict_indexes_memory_pct,gauge,,,,Evicts records if combines size of RAM index exceed configured pct,0,aerospike,evict_indexes_memory_pct,,
aerospike.namespace.evict_tenths_pct,gauge,,,,Maximum 1/10th percentage of objects to be deleted during each iteration of eviction.,0,aerospike,evict_tenths_pct,,
aerospike.namespace.evict_ttl,gauge,,,,The current eviction depth or the highest TTL of records that have been evicted.,0,aerospike,evict_ttl,,
aerospike.namespace.evict_void_time,gauge,,second,,The current eviction depth expressed as a void time in seconds since 1 January 2010 UTC.,0,aerospike,evict_void_time,,
